Crash ID,County,Crash Severity,Crash Time,Day of Week,Latitude,Longitude,Weather Condition
12150680,Harris,Non-Incapacitating Injury,2355,Thursday,30.00746476,-95.72470299,Clear
12166958,Harris,Not Injured,2125,Thursday,29.76953806,-95.39719866,Clear
12167947,Harris,Not Injured,230,Thursday,29.7623148,-95.36451309,Clear
12168311,Harris,Possible Injury,1800,Friday,29.72004583,-95.48568942,Clear
12417886,Harris,Not Injured,128,Friday,29.8319613,-95.56680372,Clear
12794107,Harris,Not Injured,2130,Friday,29.9319189,-95.39115138,Clear
12156434,Harris,Possible Injury,2100,Saturday,29.9069704,-95.35520618,Cloudy
12166620,Harris,Not Injured,2115,Saturday,29.82223479,-95.47384306,Clear
12166651,Harris,Not Injured,510,Saturday,29.67614481,-95.53831305,Clear
12202780,Harris,Not Injured,500,Saturday,29.84883229,-95.32832877,Clear
12212604,Harris,Not Injured,2004,Saturday,29.67585313,-95.52830624,Cloudy
12418118,Harris,Non-Incapacitating Injury,1735,Saturday,29.82748016,-95.52297062,Clear
12593756,Harris,Not Injured,2200,Saturday,29.71977481,-95.3214331,Clear
12202795,Harris,Not Injured,20,Sunday,29.78484532,-95.61819263,Clear
12269426,Harris,Killed,210,Sunday,29.77751763,-95.41196902,Cloudy
12418123,Harris,Possible Injury,550,Sunday,29.7389409,-95.2980365,Clear
12734242,Harris,Unknown,500,Sunday,29.61236632,-95.19729149,Clear
12734265,Harris,Possible Injury,240,Sunday,29.72993824,-95.30905637,Clear
13116568,Harris,Not Injured,1500,Sunday,29.65110778,-95.46391058,Clear
12168089,Harris,Not Injured,1525,Monday,29.74516235,-95.40109951,Clear
12233773,Harris,Not Injured,230,Monday,29.73674356,-95.57197916,Clear
12352674,Harris,Not Injured,1745,Monday,29.8059748,-95.54523304,Clear
12543753,Harris,Not Injured,20,Monday,29.77660219,-95.3950032,Clear
12167700,Harris,Not Injured,205,Wednesday,29.65138188,-95.46391535,Cloudy
12166753,Harris,Non-Incapacitating Injury,207,Thursday,29.72064686,-95.61859656,Clear
12203194,Harris,Not Injured,1822,Thursday,29.65932483,-95.59297304,Clear
12203124,Harris,Not Injured,1118,Friday,29.73610514,-95.60943411,Cloudy
12509001,Harris,Non-Incapacitating Injury,2040,Friday,29.7790048,-95.42725307,Clear
12168019,Harris,Not Injured,2320,Saturday,29.72569313,-95.50114065,Clear
12203036,Harris,Not Injured,205,Saturday,29.7481948,-95.38569309,Clear
12203042,Harris,Possible Injury,600,Saturday,29.74631605,-95.32144318,Clear
12283024,Harris,Not Injured,26,Saturday,29.71767481,-95.3353431,Clear
12489450,Harris,Not Injured,2320,Saturday,29.72569313,-95.50114065,Clear
12556539,Harris,Possible Injury,2245,Saturday,29.72296481,-95.47657305,Cloudy
12768897,Harris,Not Injured,215,Saturday,29.7683248,-95.38274308,Clear
12782560,Harris,Not Injured,1900,Saturday,29.8028448,-95.47552306,Clear
12809710,Harris,Possible Injury,2105,Saturday,29.62716482,-95.46531307,Clear
12202576,Harris,Not Injured,2055,Sunday,29.78896129,-95.38923436,Clear
12202532,Harris,Not Injured,1225,Monday,29.68873263,-95.58763946,Clear
12581813,Harris,Not Injured,530,Monday,29.77267609,-95.23092348,Clear
12203227,Harris,Not Injured,2216,Tuesday,29.67887482,-95.55285304,Clear
12305920,Harris,Possible Injury,2150,Tuesday,29.83245479,-95.52405905,Cloudy
12581807,Harris,Non-Incapacitating Injury,200,Tuesday,29.66502753,-95.25963461,Clear
12203290,Harris,Possible Injury,1848,Wednesday,29.72938795,-95.51278037,Cloudy
12204677,Harris,Possible Injury,1605,Thursday,29.72872229,-95.36312223,Clear
12204690,Harris,Non-Incapacitating Injury,125,Thursday,29.75375854,-95.38392012,Clear
12408604,Harris,Killed,2333,Thursday,29.71725122,-95.31435646,Clear
12204688,Harris,Not Injured,240,Friday,29.7442848,-95.35302309,Clear
12204788,Harris,Possible Injury,2300,Friday,29.83759261,-95.36256114,Clear
12298120,Harris,Non-Incapacitating Injury,325,Saturday,30.05700244,-95.09669556,Clear
12346897,Harris,Killed,118,Saturday,29.70777018,-95.50931269,Cloudy
12626898,Harris,Possible Injury,520,Sunday,29.86384478,-95.44907306,Clear
12749610,Harris,Not Injured,240,Sunday,29.70430482,-95.51268304,Clear
12761726,Harris,Not Injured,40,Sunday,29.7764348,-95.3157231,Clear
12234368,Montgomery,Possible Injury,109,Monday,30.05248955,-95.25204517,Clear
12681767,Harris,Non-Incapacitating Injury,130,Wednesday,29.79302574,-95.69178026,Clear
12205437,Harris,Not Injured,1910,Friday,29.93921138,-95.33174083,Clear
12491601,Harris,Not Injured,2145,Friday,29.67607838,-95.5398661,Clear
12199112,Harris,Possible Injury,645,Saturday,29.90866478,-95.49586305,Clear
12256111,Harris,Possible Injury,2222,Saturday,29.70916481,-95.48477306,Clear
12509705,Harris,Not Injured,2311,Saturday,29.55464484,-95.15221315,Clear
12510049,Harris,Not Injured,326,Saturday,29.72628187,-95.39105308,Clear
12522328,Harris,Killed,109,Saturday,29.6316971,-95.28573626,Clear
